name	bundesland_name
Schirgiswalde 	Sachsen
Schkeuditz 	Sachsen
Schkölen 	Thüringen
Schleiden 	Nordrhein-Westfalen
Schleiz 	Thüringen
Schleswig 	Schleswig-Holstein
Schlettau 	Sachsen
Schleusingen 	Thüringen
Schlieben 	Brandenburg
Schlitz 	Hessen
Schloß Holte-Stukenbrock 	N.-Westf.
Schlotheim 	Thüringen
Schlüchtern 	Hessen
Schlüsselfeld 	Bayern
Schmalkalden 	Thüringen
Schmallenberg 	Nordrhein-Westfalen
Schmölln 	Thüringen
Schnackenburg 	Niedersachsen
Schnaittenbach 	Bayern
Schneeberg 	Sachsen
Schneverdingen 	Niedersachsen
Schömberg 	Baden-Württemberg
Schönau 	Baden-Württemberg
Schönau im Schwarzwald 	Baden-W.
Schönberg 	Mecklenburg-Vorp.
Schönebeck (Elbe) 	Sachsen-Anhalt
Schöneck/Vogtl. 	Sachsen
Schönewalde 	Brandenburg
Schongau 	Bayern
Schöningen 	Niedersachsen
Schönsee 	Bayern
Schönwald 	Bayern
Schopfheim 	Baden-Württemberg
Schöppenstedt 	Niedersachsen
Schorndorf 	Baden-Württemberg
Schortens 	Niedersachsen
Schotten 	Hessen
Schramberg 	Baden-Württemberg
Schraplau 	Sachsen-Anhalt
Schriesheim 	Baden-Württemberg
Schrobenhausen 	Bayern
Schrozberg 	Baden-Württemberg
Schüttorf 	Niedersachsen
Schwaan 	Mecklenburg-Vorpommern
Schwabach 	Bayern
Schwäbisch Gmünd 	Baden-Württemb.
Schwäbisch Hall 	Baden-Württemberg
Schwabmünchen 	Bayern
Schwaigern 	Baden-Württemberg
Schwalbach am Taunus 	Hessen
Schwalmstadt 	Hessen
Schwandorf 	Bayern
Schwanebeck 	Sachsen-Anhalt
Schwarzenbach am Wald 	Bayern
Schwarzenbach an der Saale 	Bayern
Schwarzenbek 	Schleswig-Holstein
Schwarzenberg/Erzgeb. 	Sachsen
Schwarzenborn 	Hessen
Schwarzheide 	Brandenburg
Schwedt/Oder 	Brandenburg
Schweich 	Rheinland-Pfalz
Schweinfurt 	Bayern
Schwelm 	Nordrhein-Westfalen
Schwerin 	Landeshauptstadt Meckl.-Vorp.
Schwerte 	Nordrhein-Westfalen
Schwetzingen 	Baden-Württemberg
Sebnitz 	Sachsen
Seehausen 	Sachsen-Anhalt
Seehausen (Altmark) 	Sachsen-Anhalt
Seelow 	Brandenburg
Seelze 	Niedersachsen
Seesen 	Niedersachsen
Sehnde 	Niedersachsen
Seifhennersdorf 	Sachsen
Selb 	Bayern
Selbitz 	Bayern
Seligenstadt 	Hessen
Selm 	Nordrhein-Westfalen
Selters (Westerwald) 	Rheinland-Pfalz
Senden 	Bayern
Sendenhorst 	Nordrhein-Westfalen
Senftenberg 	Brandenburg
Seßlach 	Bayern
Siegburg 	Nordrhein-Westfalen
Siegen 	Nordrhein-Westfalen
Sigmaringen 	Baden-Württemberg
Simbach am Inn 	Bayern
Simmern/ Hunsrück 	Rheinland-Pfalz
Sindelfingen 	Baden-Württemberg
Singen (Hohentwiel) 	Baden-Württemb.
Sinsheim 	Baden-Württemberg
Sinzig 	Rheinland-Pfalz
Soest 	Nordrhein-Westfalen
Solingen 	Nordrhein-Westfalen
Solms 	Hessen
Soltau 	Niedersachsen
Sömmerda 	Thüringen
Sondershausen 	Thüringen
Sonneberg 	Thüringen
Sonnewalde 	Brandenburg
Sonthofen 	Bayern
Sontra 	Hessen
Spaichingen 	Baden-Württemberg
Spalt 	Bayern
Spangenberg 	Hessen
Spenge 	Nordrhein-Westfalen
Speyer 	Rheinland-Pfalz
Spremberg 	Brandenburg
Springe 	Niedersachsen
Sprockhövel 	Nordrhein-Westfalen
Stade 	Niedersachsen
Stadtallendorf 	Hessen
Stadthagen 	Niedersachsen
Stadtilm 	Thüringen
Stadtlengsfeld 	Thüringen
Stadtlohn 	Nordrhein-Westfalen
Stadtoldendorf 	Niedersachsen
Stadtprozelten 	Bayern
Stadtroda 	Thüringen
Stadtsteinach 	Bayern
Stadt Wehlen 	Sachsen
Starnberg 	Bayern
Staßfurt 	Sachsen-Anhalt
Staufen im Breisgau 	Baden-Württ.
Staufenberg 	Hessen
Stavenhagen, Reuterstadt 	Meckl.-V.
St. Blasien 	Baden-Württemberg
Stein 	Bayern
Steinach 	Thüringen
Steinau an der Straße 	Hessen
Steinbach-Hallenberg 	Thüringen
Steinbach (Taunus) 	Hessen
Steinfurt 	Nordrhein-Westfalen
Steinheim an der Murr 	Baden-Württ.
Steinheim 	Nordrhein-Westfalen
Stendal 	Sachsen-Anhalt
Sternberg 	Mecklenburg-Vorpommern
St. Ingbert 	Saarland
St. Georgen im Schwarzwald 	BW
Stockach 	Baden-Württemberg
Stolberg (Harz) 	Sachsen-Anhalt
Stolberg (Rhld.) 	Nordrhein-Westfalen
Stollberg/Erzgeb. 	Sachsen
Stolpen 	Sachsen
Storkow (Mark) 	Brandenburg
Stößen 	Sachsen-Anhalt
Straelen 	Nordrhein-Westfalen
Stralsund, Hansestadt 	Meckl.-Vorp.
Strasburg (Uckermark) 	Meckl.-Vorp.
Straubing 	Bayern
Strausberg 	Brandenburg
Strehla 	Sachsen
Stromberg 	Rheinland-Pfalz
Stühlingen 	Baden-Württemberg
Stutensee 	Baden-Württemberg
Stuttgart 	Landeshauptst. Baden-W.
St. Wendel 	Saarland
Suhl 	Thüringen
Sulingen 	Niedersachsen
Sulz am Neckar 	Baden-Württemberg
Sulzbach/ Saar 	Saarland
Sulzbach-Rosenberg 	Bayern
Sulzburg 	Baden-Württemberg
Sundern (Sauerland) 	Nordrh.-Westf.
Süßen 	Baden-Württemberg
Syke 	Niedersachsen
Tambach-Dietharz/Thür. Wald 	Thüringen
Tangerhütte 	Sachsen-Anhalt
Tangermünde 	Sachsen-Anhalt
Tann (Rhön) 	Hessen
Tanna 	Thüringen
Tauberbischofsheim 	Baden-Württemb.
Taucha 	Sachsen
Taunusstein 	Hessen
Tecklenburg Nordrhein-Westfalen)
Tegernsee 	Bayern
Telgte 	Nordrhein-Westfalen
Teltow 	Brandenburg
Templin 	Brandenburg
Tengen 	Baden-Württemberg
Tessin 	Mecklenburg-Vorpommern
Teterow 	Mecklenburg-Vorpommern
Tettnang 	Baden-Württemberg
Teublitz 	Bayern
Teuchern 	Sachsen-Anhalt
Teupitz 	Brandenburg
Teuschnitz 	Bayern
Thale 	Sachsen-Anhalt
Thalheim/Erzgeb. 	Sachsen
Thannhausen 	Bayern
Tharandt 	Sachsen
Themar 	Thüringen
Thum 	Sachsen
Tirschenreuth 	Bayern
Titisee-Neustadt 	Baden-Württemberg
Tittmoning 	Bayern
Todtnau 	Baden-Württemberg
Töging am Inn 	Bayern
Tönisvorst 	Nordrhein-Westfalen
Tönning 	Schleswig-Holstein
Torgau 	Sachsen
Torgelow 	Mecklenburg-Vorpommern
Tornesch 	Schleswig-Holstein
Traben-Trarbach 	Rheinland-Pfalz
Traunreut 	Bayern
Traunstein 	Bayern
Trebbin 	Brandenburg
Trebsen/Mulde 	Sachsen
Treffurt 	Thüringen
Trendelburg 	Hessen
Treuchtlingen 	Bayern
Treuen 	Sachsen
Treuenbrietzen 	Brandenburg
Triberg im Schwarzwald 	Baden-Württ.
Tribsees 	Mecklenburg-Vorpommern
Triebes 	Thüringen
Trier 	Rheinland-Pfalz
Triptis 	Thüringen
Trochtelfingen 	Baden-Württemberg
Troisdorf 	Nordrhein-Westfalen
Trossingen 	Baden-Württemberg
Trostberg 	Bayern
Tübingen 	Baden-Württemberg
Tuttlingen 	Baden-Württemberg
Twistringen 	Niedersachsen
Übach-Palenberg 	Nordrhein-Westfalen
Überlingen 	Baden-Württemberg
Uebigau-Wahrenbrück 	Brandenburg
Ueckermünde 	Mecklenburg-Vorpommern
Uelzen 	Niedersachsen
Uetersen 	Schleswig-Holstein
Uffenheim 	Bayern
Uhingen 	Baden-Württemberg
Ulm 	Baden-Württemberg
Ulrichstein 	Hessen
Ummerstadt 	Thüringen
Unkel 	Rheinland-Pfalz
Unna 	Nordrhein-Westfalen
Unterschleißheim 	Bayern
Usedom 	Mecklenburg-Vorpommern
Usingen 	Hessen
Uslar 	Niedersachsen
Vacha 	Thüringen
Vaihingen an der Enz 	Baden-Württemb.
Vallendar 	Rheinland-Pfalz
Varel 	Niedersachsen
Vechta 	Niedersachsen
Velbert 	Nordrhein-Westfalen
Velburg 	Bayern
Velden 	Bayern
Vellberg 	Baden-Württemberg
Vellmar 	Hessen
Velten 	Brandenburg
Verden (Aller) 	Niedersachsen
Veringenstadt 	Baden-Württemberg
Versmold 	Nordrhein-Westfalen
Vetschau/Spreewald 	Brandenburg
Viechtach 	Bayern
Vienenburg 	Niedersachsen
Viernheim 	Hessen
Viersen 	Nordrhein-Westfalen
Villingen-Schwenningen 	Baden-Württemb.
Vilsbiburg 	Bayern
Vilseck 	Bayern
Vilshofen 	Bayern
Visselhövede 	Niedersachsen
Vlotho 	Nordrhein-Westfalen
Voerde (Niederrhein) 	Nordrhein-Westf.
Vogtsburg im Kaiserstuhl 	B.-Württ.
Vohburg an der Donau 	Bayern
Vohenstrauß 	Bayern
Vöhrenbach 	Baden-Württemberg
Vöhringen 	Bayern
Volkach 	Bayern
Völklingen 	Saarland
Volkmarsen 	Hessen
Vreden 	Nordrhein-Westfalen
Wachenheim an der Weinstraße 	Rhl.-Pf.
Wächtersbach 	Hessen
Wadern 	Saarland
Waghäusel 	Baden-Württemberg
Wahlstedt 	Schleswig-Holstein
Waiblingen 	Baden-Württemberg
Waibstadt 	Baden-Württemberg
Waischenfeld 	Bayern
Waldbröl 	Nordrhein-Westfalen
Waldeck 	Hessen
Waldenbuch 	Baden-Württemberg
Waldenburg 	Sachsen
Waldenburg 	Baden-Württemberg
Waldershof 	Bayern
Waldheim 	Sachsen
Waldkappel 	Hessen
Waldkirch 	Baden-Württemberg
Waldkirchen 	Bayern
Waldkraiburg 	Bayern
Waldmünchen 	Bayern
Waldsassen 	Bayern
Waldshut-Tiengen 	Baden-Württemberg
Walldorf 	Baden-Württemberg
Walldürn 	Baden-Württemberg
Wallenfels 	Bayern
Walsrode 	Niedersachsen
Waltershausen 	Thüringen
Waltrop 	Nordrhein-Westfalen
Wanfried 	Hessen
Wangen im Allgäu 	Baden-Württemberg
Wanzleben 	Sachsen-Anhalt
Warburg 	Nordrhein-Westfalen
Waren (Müritz) 	Mecklenburg-Vorp.
Warendorf 	Nordrhein-Westfalen
Warin 	Mecklenburg-Vorpommern
Warstein 	Nordrhein-Westfalen
Wassenberg 	Nordrhein-Westfalen
Wasserburg am Inn 	Bayern
Wassertrüdingen 	Bayern
Wasungen 	Thüringen
Wedel 	Schleswig-Holstein
Weener 	Niedersachsen
Wegberg 	Nordrhein-Westfalen
Wegeleben 	Sachsen-Anhalt
Wehr 	Baden-Württemberg
Weida 	Thüringen
Weiden in der Oberpfalz 	Bayern
Weikersheim 	Baden-Württemberg
Weil am Rhein 	Baden-Württemberg
Weilburg 	Hessen
Weil der Stadt 	Baden-Württemberg
Weilheim an der Teck 	Baden-Württ.
Weilheim in Oberbayern 	Bayern
Weimar 	Thüringen
Weingarten 	Baden-Württemberg
Weinheim 	Baden-Württemberg
Weinsberg 	Baden-Württemberg
Weinstadt 	Baden-Württemberg
Weismain 	Bayern
Weißenberg 	Sachsen
Weißenburg in Bayern 	Bayern
Weißenfels 	Sachsen-Anhalt
Weißenhorn 	Bayern
Weißensee 	Thüringen
Weißenstadt 	Bayern
Weißenthurm 	Rheinland-Pfalz
Weißwasser/O.L. 	Sachsen
Weiterstadt 	Hessen
Welzheim 	Baden-Württemberg
Welzow 	Brandenburg
Wemding 	Bayern
Wendlingen am Neckar 	Baden-Württ.
Werben (Elbe) 	Sachsen-Anhalt
Werdau 	Sachsen
Werder (Havel) 	Brandenburg
Werdohl 	Nordrhein-Westfalen
Werl 	Nordrhein-Westfalen
Wermelskirchen 	Nordrhein-Westfalen
Wernau (Neckar) 	Baden-Württemberg
Werne 	Nordrhein-Westfalen
Werneuchen 	Brandenburg
Wernigerode 	Sachsen-Anhalt
Wertheim 	Baden-Württemberg
Werther (Westf.) 	Nordrhein-Westfalen
Wertingen 	Bayern
Wesel 	Nordrhein-Westfalen
Wesenberg 	Mecklenburg-Vorpommern
Wesselburen 	Schleswig-Holstein
Wesseling 	Nordrhein-Westfalen
Westerburg 	Rheinland-Pfalz
Westerland 	Schleswig-Holstein
Westerstede 	Niedersachsen
Wetter (Ruhr) 	Nordrhein-Westfalen
Wetter (Hessen) 	Hessen
Wettin 	Sachsen-Anhalt
Wetzlar 	Hessen
Widdern 	Baden-Württemberg
Wiehe 	Thüringen
Wiehl 	Nordrhein-Westfalen
Wiesbaden 	Landeshauptstadt Hessen
Wiesensteig 	Baden-Württemberg
Wiesloch 	Baden-Württemberg
Wildberg 	Baden-Württemberg
Wildemann 	Niedersachsen
Wildenfels 	Sachsen
Wildeshausen 	Niedersachsen
Wilhelmshaven 	Niedersachsen
Wilkau-Haßlau 	Sachsen
Willebadessen 	Nordrhein-Westfalen
Willich 	Nordrhein-Westfalen
Wilsdruff 	Sachsen
Wilster 	Schleswig-Holstein
Wilthen 	Sachsen
Windischeschenbach 	Bayern
Windsbach 	Bayern
Winnenden 	Baden-Württemberg
Winsen (Luhe) 	Niedersachsen
Winterberg 	Nordrhein-Westfalen
Wipperfürth 	Nordrhein-Westfalen
Wirges 	Rheinland-Pfalz
Wismar 	Mecklenb.-Vorp. / Hansestadt
Wissen 	Rheinland-Pfalz
Witten 	Nordrhein-Westfalen
Wittenberg, Lutherstadt 	Sachsen-Anhalt
Wittenberge 	Brandenburg
Wittenburg 	Mecklenburg-Vorpommern
Wittichenau 	Sachsen
Wittlich 	Rheinland-Pfalz
Wittingen 	Niedersachsen
Wittmund 	Niedersachsen
Wittstock/Dosse 	Brandenburg
Witzenhausen 	Hessen
Woldegk 	Mecklenburg-Vorpommern
Wolfach 	Baden-Württemberg
Wolfen 	Sachsen-Anhalt
Wolfenbüttel 	Niedersachsen
Wolfhagen 	Hessen
Wolframs-Eschenbach 	Bayern
Wolfratshausen 	Bayern
Wolfsburg 	Niedersachsen
Wolfstein 	Rheinland-Pfalz
Wolgast 	Mecklenburg-Vorpommern
Wolkenstein 	Sachsen
Wolmirstedt 	Sachsen-Anhalt
Wörlitz 	Sachsen-Anhalt
Worms 	Rheinland-Pfalz
Wörth am Rhein 	Rheinland-Pfalz
Wörth an der Donau 	Bayern
Wörth am Main 	Bayern
Wriezen 	Brandenburg
Wülfrath 	Nordrhein-Westfalen
Wunsiedel 	Bayern
Wunstorf 	Niedersachsen
Wuppertal 	Nordrhein-Westfalen
Würselen 	Nordrhein-Westfalen
Wurzbach 	Thüringen
Würzburg 	Bayern
Wurzen 	Sachsen
Wustrow (Wendland) 	Niedersachsen
Wyk auf Föhr 	Schleswig-Holstein
Xanten 	Nordrhein-Westfalen
Zahna 	Sachsen-Anhalt
Zarrentin am Schaalsee 	Meckl.-Vorp.
Zehdenick 	Brandenburg
Zeil am Main 	Bayern
Zeitz 	Sachsen-Anhalt
Zell am Harmersbach 	Baden-Württemb.
Zell im Wiesental 	Baden-Württemberg
Zell (Mosel) 	Rheinland-Pfalz
Zella-Mehlis 	Thüringen
Zerbst 	Sachsen-Anhalt
Zeulenroda 	Thüringen
Zeven 	Niedersachsen
Ziegenrück 	Thüringen
Zierenberg 	Hessen
Ziesar 	Brandenburg
Zirndorf 	Bayern
Zittau 	Sachsen
Zöblitz 	Sachsen
Zörbig 	Sachsen-Anhalt
Zossen 	Brandenburg
Zschopau 	Sachsen
Zülpich 	Nordrhein-Westfalen
Zweibrücken 	Rheinland-Pfalz
Zwenkau 	Sachsen
Zwickau 	Sachsen
Zwiesel 	Bayern
Zwingenberg 	Hessen
Zwönitz 	Sachsen
